density	 t_tilde	 energy	 energy_Variance	 Esqure	 Esquare_variance
0.000	 0.020	 nan	 nan	 nan	 nan
0.001	 0.020	 -0.000268	 0.000026	 4.002569	 0.650993
0.002	 0.020	 -0.000452	 0.000056	 3.227655	 0.764231
0.003	 0.020	 -0.000584	 0.000074	 2.514903	 0.675688
0.004	 0.020	 -0.000743	 0.000019	 2.726510	 0.164114
0.005	 0.020	 -0.000778	 0.000026	 2.106906	 0.272225
0.006	 0.020	 -0.000861	 0.000019	 1.972742	 0.182957
0.007	 0.020	 -0.000897	 0.000013	 1.810375	 0.060070
0.008	 0.020	 -0.000923	 0.000017	 1.782334	 0.066595
0.009	 0.020	 -0.000927	 0.000019	 1.699084	 0.059452
0.010	 0.020	 -0.000920	 0.000015	 1.543023	 0.036148
0.011	 0.020	 -0.000872	 0.000035	 1.445204	 0.036805
0.012	 0.020	 -0.000822	 0.000033	 1.307151	 0.036145
0.013	 0.020	 -0.000824	 0.000033	 1.232649	 0.017462
0.014	 0.020	 -0.000763	 0.000023	 1.163138	 0.016677
