density	 t_tilde	 energy	 energy_Variance	 Esqure	 Esquare_variance
0.010	 0.020	 -0.001105	 0.000016	 1.765245	 0.055761
0.020	 0.020	 -0.000661	 0.000024	 0.987327	 0.013513
0.030	 0.020	 -0.000161	 0.000030	 0.697008	 0.004325
0.040	 0.020	 0.000169	 0.000017	 0.542960	 0.007273
0.050	 0.020	 0.000398	 0.000014	 0.453051	 0.008502
0.060	 0.020	 0.000512	 0.000017	 0.423477	 0.009727
0.070	 0.020	 0.000569	 0.000058	 5.661894	 6.108875
0.080	 0.020	 0.000617	 0.000040	 5.107502	 3.068668
0.090	 0.020	 0.000593	 0.000057	 6.163524	 2.390244
0.100	 0.020	 0.000696	 0.000036	 2.762319	 1.070529
0.110	 0.020	 0.000610	 0.000039	 4.532969	 1.239474
0.120	 0.020	 0.000571	 0.000070	 3.979366	 1.359232
0.130	 0.020	 0.000523	 0.000044	 3.209681	 0.516596
0.140	 0.020	 0.000450	 0.000050	 3.223677	 0.484519
