density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
0.01	0.02	1	-0.00111605	0	1.69645	0
0.01	0.02	2	-0.00106484	3.62111e-05	1.82631	0.0626955
0.01	0.02	3	-0.0010535	2.58569e-05	1.90182	0.0673132
0.01	0.02	4	-0.00104268	2.15393e-05	1.90654	0.0497294
0.01	0.02	5	-0.00107083	3.0515e-05	1.76666	0.112012
0.01	0.02	6	-0.00107666	2.59804e-05	1.75666	0.0933023
0.01	0.02	7	-0.00107744	2.22804e-05	1.69347	0.0973261
0.01	0.02	8	-0.00107324	1.98859e-05	1.67908	0.0862409
0.01	0.02	9	-0.00107893	1.84707e-05	1.68649	0.0767975
0.01	0.02	10	-0.00109308	2.13661e-05	1.66807	0.0680437
0.01	0.02	11	-0.00107857	2.38433e-05	1.6447	0.065549
0.01	0.02	12	-0.00107322	2.24495e-05	1.68647	0.0696461
0.01	0.02	13	-0.00109189	2.74112e-05	1.6895	0.0621257
0.01	0.02	14	-0.00107634	2.95383e-05	1.6576	0.0655068
0.01	0.02	15	-0.0010883	2.98939e-05	1.66842	0.0616387
0.01	0.02	16	-0.00109036	2.80964e-05	1.6734	0.0579647
0.01	0.02	17	-0.00109774	2.73946e-05	1.67304	0.0541431
0.01	0.02	18	-0.00109929	2.59166e-05	1.66926	0.0511773
0.01	0.02	19	-0.00108703	2.73005e-05	1.69654	0.0513661
0.01	0.02	20	-0.00109405	2.68247e-05	1.70848	0.0500952
0.01	0.02	21	-0.00109913	2.60237e-05	1.6955	0.0484315
0.01	0.02	22	-0.00110952	2.68328e-05	1.67965	0.04643
0.01	0.02	23	-0.00111032	2.56782e-05	1.66914	0.0452916
0.01	0.02	24	-0.00111699	2.54599e-05	1.65952	0.0434058
0.01	0.02	25	-0.00111295	2.47605e-05	1.66692	0.0418761
0.01	0.02	26	-0.00111524	2.39136e-05	1.67198	0.0405458
0.01	0.02	27	-0.00112342	2.43861e-05	1.68633	0.0414358
0.01	0.02	28	-0.00112602	2.36536e-05	1.69571	0.0409258
0.01	0.02	29	-0.00112316	2.301e-05	1.71832	0.0437845
0.01	0.02	30	-0.00112252	2.22518e-05	1.71884	0.0423272
0.01	0.02	31	-0.00111401	2.31036e-05	1.72602	0.0405044
0.01	0.02	32	-0.00111336	2.23907e-05	1.74674	0.0432475
0.01	0.02	33	-0.00111368	2.17145e-05	1.73993	0.0423559
0.01	0.02	34	-0.00111264	2.11007e-05	1.74079	0.0411098
0.01	0.02	35	-0.0011099	2.06754e-05	1.72711	0.0420364
0.01	0.02	36	-0.00110414	2.08882e-05	1.73155	0.0406294
0.01	0.02	37	-0.00110574	2.03851e-05	1.75361	0.0444772
0.01	0.02	38	-0.00110152	2.02806e-05	1.75592	0.0431635
0.01	0.02	39	-0.00110634	2.03245e-05	1.76342	0.0426538
0.01	0.02	40	-0.00110943	2.00497e-05	1.76889	0.041912
0.01	0.02	41	-0.00110441	2.01782e-05	1.75773	0.0423856
0.01	0.02	42	-0.00110445	1.96979e-05	1.76685	0.0421922
0.01	0.02	43	-0.00110414	1.92422e-05	1.76527	0.0412409
0.01	0.02	44	-0.00109911	1.94531e-05	1.77724	0.0410587
0.01	0.02	45	-0.00109589	1.92852e-05	1.76679	0.041452
0.01	0.02	46	-0.00109576	1.88663e-05	1.75987	0.041042
0.01	0.02	47	-0.00110034	1.90141e-05	1.7614	0.0400301
0.01	0.02	48	-0.00109692	1.89241e-05	1.7599	0.0391824
0.01	0.02	49	-0.00109684	1.85381e-05	1.78314	0.0438006
0.01	0.02	50	-0.00109594	1.81893e-05	1.77234	0.0441201
0.01	0.02	51	-0.00109386	1.79511e-05	1.76841	0.0434414
0.01	0.02	52	-0.00109799	1.80763e-05	1.77216	0.0426768
0.01	0.02	53	-0.0011013	1.80349e-05	1.78836	0.0447109
0.01	0.02	54	-0.00110226	1.77263e-05	1.78578	0.0439119
0.01	0.02	55	-0.00110597	1.77886e-05	1.79101	0.0433754
