density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
1	0.012	1	-0.000943799	0	0.0787788	0
1	0.012	2	-0.000969082	1.78782e-05	0.0948345	0.0113457
1	0.012	3	-0.000870194	8.16172e-05	0.0799186	0.0143036
1	0.012	4	-0.000842084	6.58759e-05	0.0741007	0.011905
1	0.012	5	-0.000838274	5.28108e-05	0.0703895	0.0100459
1	0.012	6	-0.000842933	4.4214e-05	0.0742287	0.00902098
1	0.012	7	-0.000842845	3.78978e-05	0.0710245	0.00822074
1	0.012	8	-0.000829738	3.53545e-05	0.0666634	0.00827195
1	0.012	9	-0.000833006	3.15769e-05	0.065146	0.00745512
1	0.012	10	-0.000840071	2.91989e-05	0.0660376	0.00675203
1	0.012	11	-0.000849828	2.81274e-05	0.0669591	0.00617899
1	0.012	12	-0.000853457	2.60165e-05	0.0669779	0.00565552
1	0.012	13	-0.000854618	2.40411e-05	0.0656072	0.0053575
1	0.012	14	-0.000854174	2.2328e-05	0.0671037	0.00515476
1	0.012	15	-0.000852884	2.08767e-05	0.0678913	0.00485959
1	0.012	16	-0.000858806	2.03947e-05	0.068168	0.00454689
1	0.012	17	-0.000867097	2.08121e-05	0.0698426	0.00457189
1	0.012	18	-0.00086534	1.97299e-05	0.0697883	0.00431798
1	0.012	19	-0.000864501	1.87093e-05	0.0688168	0.00419119
1	0.012	20	-0.000866007	1.78344e-05	0.0689065	0.00398089
1	0.012	21	-0.000856474	1.93662e-05	0.0701063	0.00382528
1	0.012	22	-0.000858546	1.85964e-05	0.0720324	0.00407565
1	0.012	23	-0.000857994	1.7796e-05	0.0721827	0.00390051
1	0.012	24	-0.000855218	1.72696e-05	0.0725047	0.00374028
1	0.012	25	-0.000853114	1.67066e-05	0.0723438	0.00359396
1	0.012	26	-0.000852867	1.60658e-05	0.0722171	0.00345801
1	0.012	27	-0.00085224	1.5483e-05	0.0712628	0.00344889
1	0.012	28	-0.000849659	1.51437e-05	0.0708189	0.00335515
1	0.012	29	-0.000846133	1.50263e-05	0.0703515	0.003272
1	0.012	30	-0.000845636	1.45336e-05	0.0698461	0.00319929
1	0.012	31	-0.000844089	1.41469e-05	0.0697374	0.00309772
1	0.012	32	-0.000844375	1.37077e-05	0.0691135	0.00305464
1	0.012	33	-0.000842377	1.34371e-05	0.0681191	0.00311569
1	0.012	34	-0.000834957	1.49508e-05	0.0700419	0.00337507
1	0.012	35	-0.000837247	1.4698e-05	0.07024	0.00328174
1	0.012	36	-0.000834379	1.45668e-05	0.0699305	0.00320473
1	0.012	37	-0.000831586	1.44384e-05	0.0699257	0.00311309
1	0.012	38	-0.000832193	1.40712e-05	0.0694774	0.00305702
1	0.012	39	-0.000828045	1.43087e-05	0.0690872	0.00300084
1	0.012	40	-0.000827711	1.39549e-05	0.0684601	0.00298504
1	0.012	41	-0.000827036	1.36308e-05	0.0679734	0.00294978
1	0.012	42	-0.000827097	1.33064e-05	0.0672228	0.00296295
1	0.012	43	-0.000825838	1.30565e-05	0.0664638	0.00298625
1	0.012	44	-0.000824961	1.27891e-05	0.0671657	0.00298609
1	0.012	45	-0.000826866	1.26461e-05	0.0677068	0.00296742
1	0.012	46	-0.000825674	1.24272e-05	0.067136	0.00295636
1	0.012	47	-0.000826899	1.2223e-05	0.067102	0.00289134
1	0.012	48	-0.000826585	1.19724e-05	0.0666524	0.00286352
1	0.012	49	-0.000827249	1.17465e-05	0.0668119	0.00280927
1	0.012	50	-0.000828243	1.15535e-05	0.0669806	0.00275768
1	0.012	51	-0.000828649	1.13341e-05	0.0671957	0.00271158
1	0.012	52	-0.000828891	1.11187e-05	0.0671005	0.00266057
1	0.012	53	-0.000829605	1.09319e-05	0.0667863	0.00262412
1	0.012	54	-0.000830414	1.07593e-05	0.0668129	0.00257484
1	0.012	55	-0.000833102	1.08942e-05	0.0672723	0.00256711
1	0.012	56	-0.000830755	1.09496e-05	0.066989	0.00253626
1	0.012	57	-0.000829982	1.07847e-05	0.0666947	0.00250878
1	0.012	58	-0.000830527	1.06125e-05	0.0665718	0.00246705
1	0.012	59	-0.000828507	1.0623e-05	0.066278	0.00244272
1	0.012	60	-0.000830597	1.06495e-05	0.0662115	0.00239577
1	0.012	61	-0.000829282	1.05558e-05	0.0659955	0.00236652
1	0.012	62	-0.000828746	1.03991e-05	0.0656973	0.00234654
1	0.012	63	-0.000828408	1.02395e-05	0.06566	0.00230966
1	0.012	64	-0.000825312	1.05373e-05	0.0658155	0.00226321
1	0.012	65	-0.000823118	1.06012e-05	0.0655301	0.00224625
1	0.012	66	-0.000822635	1.04515e-05	0.0652171	0.00223298
1	0.012	67	-0.00082348	1.03296e-05	0.0650488	0.00220266
1	0.012	68	-0.00082495	1.02818e-05	0.0647954	0.00217615
1	0.012	69	-0.000823663	1.02129e-05	0.0644474	0.00217253
1	0.012	70	-0.000822573	1.0125e-05	0.0646946	0.00214995
1	0.012	71	-0.000821714	1.00188e-05	0.0644167	0.0021376
1	0.012	72	-0.000821442	9.88331e-06	0.0640158	0.00214226
1	0.012	73	-0.000821286	9.74916e-06	0.0639961	0.00211305
1	0.012	74	-0.000820987	9.62201e-06	0.0637215	0.00210123
1	0.012	75	-0.000821436	9.50418e-06	0.06402	0.00209313
1	0.012	76	-0.000820121	9.46958e-06	0.0637702	0.00208081
1	0.012	77	-0.000819433	9.37157e-06	0.0635627	0.00206423
1	0.012	78	-0.000820774	9.34691e-06	0.0633957	0.00203849
1	0.012	79	-0.000821121	9.23503e-06	0.0631084	0.00202922
1	0.012	80	-0.000821623	9.13322e-06	0.0631931	0.00200546
1	0.012	81	-0.000822551	9.06744e-06	0.0634108	0.00199219
1	0.012	82	-0.000821494	9.01827e-06	0.0636339	0.00197501
1	0.012	83	-0.000822131	8.9321e-06	0.0635619	0.00195111
1	0.012	84	-0.000820408	8.99038e-06	0.0631977	0.00196206
1	0.012	85	-0.000820791	8.89279e-06	0.0633204	0.00194265
1	0.012	86	-0.0008216	8.82607e-06	0.0632243	0.00192011
1	0.012	87	-0.000821361	8.72785e-06	0.0633813	0.00190327
1	0.012	88	-0.000821855	8.64264e-06	0.0635127	0.00188602
1	0.012	89	-0.000820522	8.64764e-06	0.0635215	0.00186263
1	0.012	90	-0.000819854	8.57734e-06	0.0633575	0.00184932
1	0.012	91	-0.000819784	8.48337e-06	0.0631941	0.00183557
1	0.012	92	-0.000818974	8.42972e-06	0.0633577	0.00181967
1	0.012	93	-0.000818722	8.34284e-06	0.0635262	0.00180645
1	0.012	94	-0.00081945	8.28576e-06	0.0634423	0.00178721
1	0.012	95	-0.000820121	8.2257e-06	0.0635708	0.00177282
