1 0.01 0.018 1.5	0.105402 0.00160106
1 0.01 0.018 1.6	-5.05178e-06 7.87085e-05
1 0.01 0.018 1.7	0.0503132 0.0022358
1 0.01 0.018 1.8	0.00440354 0.000417314
1 0.01 0.018 1.9	-0.0213034 0.0059967
1 0.01 0.018 2.0	-0.0235958 0.00632294
1 0.01 0.018 2.1	0.046302 0.00218778
1 0.01 0.018 2.2	-0.06398 0.025545
1 0.01 0.018 2.3	0.103654 0.00175401
1 0.01 0.018 2.4	0.111043 0.00153887
1 0.01 0.018 2.5	-0.00622894 0.127041
1 0.01 0.018 2.6	0.118747 0.0011122
1 0.01 0.018 2.7	0.121941 0.000759856
1 0.01 0.018 2.8	0.124632 1.15761e-05
1 0.01 0.018 2.9	0.124637 1.15753e-05
1 0.01 0.018 3.0	0.124641 1.15748e-05
1 0.01 0.02 1.5	-0.00017189 6.12245e-05
1 0.01 0.02 1.6	0.0581966 0.00217226
1 0.01 0.02 1.7	0.00417696 0.000401001
1 0.01 0.02 1.8	-0.0263999 0.0057827
1 0.01 0.02 1.9	0.0251189 0.00159541
1 0.01 0.02 2.0	-0.00944407 0.0125701
1 0.01 0.02 2.1	0.0787238 0.00230253
1 0.01 0.02 2.2	0.0654525 0.0206817
1 0.01 0.02 2.3	0.113201 0.00143577
1 0.01 0.02 2.4	0.120019 0.000967212
1 0.01 0.02 2.5	0.0191246 0.0978424
1 0.01 0.02 2.6	0.124639 1.09264e-05
1 0.01 0.02 2.7	0.124635 1.15757e-05
1 0.01 0.02 2.8	0.12464 1.1575e-05
1 0.01 0.02 2.9	0.124642 1.15745e-05
1 0.01 0.02 3.0	0.124644 1.15743e-05
1 0.01 0.022 1.5	0.000497091 0.000116395
1 0.01 0.022 1.6	0.003479 0.000345697
1 0.01 0.022 1.7	0.00994784 0.000794125
1 0.01 0.022 1.8	0.0233852 0.001486
1 0.01 0.022 1.9	0.047977 0.00219065
1 0.01 0.022 2.0	0.078686 0.00229241
1 0.01 0.022 2.1	0.102121 0.00191484
1 0.01 0.022 2.2	0.111438 0.00155844
1 0.01 0.022 2.3	0.120041 0.00097174
1 0.01 0.022 2.4	-0.00339804 0.114583
1 0.01 0.022 2.5	0.12462 1.45794e-05
1 0.01 0.022 2.6	0.124636 1.15754e-05
1 0.01 0.022 2.7	0.124641 1.15748e-05
1 0.01 0.022 2.8	0.124643 1.15744e-05
1 0.01 0.022 2.9	0.124645 1.15742e-05
1 0.01 0.022 3.0	0.124646 1.1574e-05
1 0.01 0.024 1.5	0.00224967 0.000260051
1 0.01 0.024 1.6	0.0106627 0.00244151
1 0.01 0.024 1.7	0.0203778 0.00136053
1 0.01 0.024 1.8	-0.135824 0.0163426
1 0.01 0.024 1.9	0.0746364 0.002344
1 0.01 0.024 2.0	0.0976057 0.0020033
1 0.01 0.024 2.1	0.113201 0.00143574
1 0.01 0.024 2.2	0.120066 0.000966513
1 0.01 0.024 2.3	-0.00343043 0.114607
1 0.01 0.024 2.4	0.124621 1.46668e-05
1 0.01 0.024 2.5	0.124637 1.15754e-05
1 0.01 0.024 2.6	0.124641 1.15748e-05
1 0.01 0.024 2.7	0.124644 1.15744e-05
1 0.01 0.024 2.8	0.124645 1.15741e-05
1 0.01 0.024 2.9	0.124646 1.1574e-05
1 0.01 0.024 3.0	0.124647 1.15739e-05
1 0.02 0.018 1.5	0.0965158 0.00228675
1 0.02 0.018 1.6	0.113423 0.00151025
1 0.02 0.018 1.7	0.023281 0.00221175
1 0.02 0.018 1.8	0.100592 0.00213891
1 0.02 0.018 1.9	0.11463 0.00133346
1 0.02 0.018 2.0	0.0816635 0.00255693
1 0.02 0.018 2.1	0.0767517 0.00254871
1 0.02 0.018 2.2	0.00308891 0.000199372
1 0.02 0.018 2.3	0.0360674 0.0021303
1 0.02 0.018 2.4	0.0133629 0.000592985
1 0.02 0.018 2.5	0.0732388 0.00209809
1 0.02 0.018 2.6	0.0659711 0.0027373
1 0.02 0.018 2.7	0.0520432 0.0037239
1 0.02 0.018 2.8	0.0502488 0.00514249
1 0.02 0.018 2.9	0.00289306 0.0103377
1 0.02 0.018 3.0	0.0764126 0.00606389
1 0.02 0.02 1.5	0.112618 0.00156338
1 0.02 0.02 1.6	0.0159703 0.00193039
1 0.02 0.02 1.7	0.102159 0.0020651
1 0.02 0.02 1.8	0.0735153 0.00268227
1 0.02 0.02 1.9	0.0781876 0.00255732
1 0.02 0.02 2.0	0.0024987 0.000185562
1 0.02 0.02 2.1	0.0541238 0.00242296
1 0.02 0.02 2.2	0.024525 0.00155244
1 0.02 0.02 2.3	0.0550646 0.00219042
1 0.02 0.02 2.4	0.058369 0.00249125
1 0.02 0.02 2.5	0.052758 0.00453187
1 0.02 0.02 2.6	0.0378027 0.00713905
1 0.02 0.02 2.7	0.0856883 0.00169808
1 0.02 0.02 2.8	0.104218 0.00141894
1 0.02 0.02 2.9	0.0798374 0.0124675
1 0.02 0.02 3.0	-0.0364356 0.0363005
1 0.02 0.022 1.5	-0.00155311 1.9466e-05
1 0.02 0.022 1.6	0.112607 0.00152487
1 0.02 0.022 1.7	0.120809 0.000436267
1 0.02 0.022 1.8	0.00346235 0.000776378
1 0.02 0.022 1.9	0.0734697 0.00245181
1 0.02 0.022 2.0	0.0786416 0.00217025
1 0.02 0.022 2.1	0.0888363 0.00175328
1 0.02 0.022 2.2	0.0285281 0.00107723
1 0.02 0.022 2.3	0.0455886 0.00148011
1 0.02 0.022 2.4	0.0263196 0.0060486
1 0.02 0.022 2.5	0.0867252 0.0016764
1 0.02 0.022 2.6	0.100289 0.00151857
1 0.02 0.022 2.7	0.113062 0.00110056
1 0.02 0.022 2.8	0.0329011 0.0312549
1 0.02 0.022 2.9	0.121132 0.000607286
1 0.02 0.022 3.0	0.121454 0.000590542
1 0.02 0.024 1.5	0.112493 0.00152353
1 0.02 0.024 1.6	0.120739 0.000438401
1 0.02 0.024 1.7	0.0332451 0.00236095
1 0.02 0.024 1.8	0.0868581 0.00219012
1 0.02 0.024 1.9	0.0125056 0.000907302
1 0.02 0.024 2.0	0.0734139 0.00205522
1 0.02 0.024 2.1	0.0335696 0.00118363
1 0.02 0.024 2.2	0.0540902 0.00156813
1 0.02 0.024 2.3	0.0407379 0.00668393
1 0.02 0.024 2.4	0.0318244 0.0119438
