density	 t_tilde	 bins	 Energy	 EnVariance	 VarianceofTotE	 VarianceOfV 
0.01	0.012	1	-0.00079364	0	0.0618662	0
0.01	0.012	2	-0.00080054	4.87915e-06	0.0566421	0.00343853
0.01	0.012	3	-0.0009404	0.000114242	0.0409134	0.00635535
0.01	0.012	4	-0.000818412	0.000136023	0.0490315	0.00476348
0.01	0.012	5	-0.000898178	0.000130122	0.0401621	0.0051371
0.01	0.012	6	-0.000935306	0.000113608	0.0368079	0.0042649
0.01	0.012	7	-0.000953602	9.88406e-05	0.0335965	0.00398877
0.01	0.012	8	-0.000871617	0.00011559	0.0410529	0.00446165
0.01	0.012	9	-0.0008964	0.00010537	0.0375935	0.00427363
0.01	0.012	10	-0.000862953	0.0001	0.042489	0.0047809
0.01	0.012	11	-0.000892364	9.51363e-05	0.0389422	0.0045989
0.01	0.012	12	-0.000912471	8.93078e-05	0.0358087	0.00451888
0.01	0.012	13	-0.00092502	8.3315e-05	0.0332959	0.00442057
0.01	0.012	14	-0.000895038	8.25827e-05	0.0359791	0.00425422
0.01	0.012	15	-0.000873843	7.97506e-05	0.0390735	0.00439238
0.01	0.012	16	-0.000877717	7.48603e-05	0.0386477	0.00411307
0.01	0.012	17	-0.000875343	7.04944e-05	0.0393879	0.00391144
0.01	0.012	18	-0.000841659	7.41901e-05	0.0445216	0.00487868
0.01	0.012	19	-0.000831295	7.10056e-05	0.0457273	0.00468721
0.01	0.012	20	-0.00081954	6.84214e-05	0.0467186	0.00448703
0.01	0.012	21	-0.000816459	6.52326e-05	0.0470965	0.00428498
0.01	0.012	22	-0.000829537	6.35649e-05	0.046408	0.0040376
0.01	0.012	23	-0.000833455	6.09218e-05	0.0456989	0.00388233
0.01	0.012	24	-0.000847287	5.99332e-05	0.0439193	0.00382459
0.01	0.012	25	-0.000847097	5.75362e-05	0.044422	0.00369445
0.01	0.012	26	-0.000857733	5.62977e-05	0.0444014	0.0035129
0.01	0.012	27	-0.000835601	5.84011e-05	0.0460298	0.00340738
0.01	0.012	28	-0.000807657	6.26449e-05	0.0491315	0.00369266
0.01	0.012	29	-0.000815167	6.09331e-05	0.0481971	0.00358868
0.01	0.012	30	-0.00082223	5.93101e-05	0.0471316	0.00351746
0.01	0.012	31	-0.000832688	5.83116e-05	0.0456878	0.00348922
0.01	0.012	32	-0.000839941	5.69386e-05	0.0448954	0.00338896
0.01	0.012	33	-0.000822221	5.79049e-05	0.0475957	0.00371869
0.01	0.012	34	-0.000833961	5.73795e-05	0.0463535	0.00363568
0.01	0.012	35	-0.00082813	5.60356e-05	0.0474071	0.00361079
0.01	0.012	36	-0.000810971	5.70457e-05	0.0496821	0.00378395
0.01	0.012	37	-0.000808967	5.55392e-05	0.0498883	0.0036866
0.01	0.012	38	-0.000801317	5.46019e-05	0.0507947	0.00363725
0.01	0.012	39	-0.000794759	5.35942e-05	0.0516228	0.00358754
0.01	0.012	40	-0.000736915	7.74136e-05	0.0578033	0.00486935
0.01	0.012	41	-0.000733137	7.56176e-05	0.0584975	0.00478467
0.01	0.012	42	-0.000745865	7.48807e-05	0.0574284	0.00465765
0.01	0.012	43	-0.000748124	7.31734e-05	0.0575172	0.00454468
0.01	0.012	44	-0.000725547	7.49125e-05	0.0597666	0.00463842
0.01	0.012	45	-0.000733863	7.3708e-05	0.0586865	0.00456452
0.01	0.012	46	-0.000701116	7.90461e-05	0.0621234	0.0049211
0.01	0.012	47	-0.00069791	7.74292e-05	0.0629344	0.00486329
0.01	0.012	48	-0.000708465	7.6532e-05	0.0618534	0.00477181
0.01	0.012	49	-0.000700842	7.53489e-05	0.0628156	0.00473148
0.01	0.012	50	-0.000700205	7.38446e-05	0.0625935	0.00464266
0.01	0.012	51	-0.000683432	7.4277e-05	0.0640106	0.00463355
0.01	0.012	52	-0.000663552	7.54621e-05	0.0658576	0.0046906
0.01	0.012	53	-0.000667774	7.41563e-05	0.0652865	0.00460738
0.01	0.012	54	-0.000665441	7.28198e-05	0.0656408	0.0045342
0.01	0.012	55	-0.000672389	7.18264e-05	0.0651856	0.00443568
0.01	0.012	56	-0.000675125	7.05959e-05	0.0648179	0.00435684
0.01	0.012	57	-0.000681669	6.96599e-05	0.0643029	0.0042703
0.01	0.012	58	-0.000678191	6.85457e-05	0.0645879	0.00420624
